id,sciName,mainCommonName,otherCommonNames,majorType,majorSubtype,order,family,subfamily,tribe,genus,specificEpithet,authoritySpeciesAuthor,authoritySpeciesYear,authoritySpeciesFullcitation,authoritySpeciesLink,holotypeVoucher,taxonomyNotes,taxonomyNotesCitation,biogeographicRealm,MSW3_matchtype,MSW3_sciName,extinct,domestic,flagged,newSppSinceMSW3,
62,Aepyceros_melampus,Common Impala,McDonald’s Antelope,Placentalia,Boreoeutheria,ARTIODACTYLA,BOVIDAE,ANTILOPINAE,AEPYCEROTINI,Aepyceros,melampus,Lichtenstein,1812,,,,NA,NA,Afrotropic,sciname match,Aepyceros_melampus,0,0,0,0,
63,Aepyprymnus_rufescens,Rufous Bettong,Rufous Rat-kangaroo,Marsupalia,Australidelphia,DIPROTODONTIA,POTOROIDAE,BETTONGINI,NA,Aepyprymnus,rufescens,Gray,1837,,,,NA,NA,Australasia/Oceania,sciname match,Aepyprymnus_rufescens,0,0,0,0,
64,Aeretes_melanopterus,Northern Chinese Flying Squirrel,Groove-toothed Flying Squirrel|North Chinese Flying Squirrel,Placentalia,Boreoeutheria,RODENTIA,SCIURIDAE,SCIURINAE,PTEROMYINI,Aeretes,melanopterus,Milne-Edwards,1867,,,,NA,NA,Palearctic,sciname match,Aeretes_melanopterus,0,0,0,0,
65,Aeromys_tephromelas,Black Flying Squirrel,Large Black Flying Squirrel,Placentalia,Boreoeutheria,RODENTIA,SCIURIDAE,SCIURINAE,PTEROMYINI,Aeromys,tephromelas,Günther,1873,,,RMNH.MAM.24076.b,NA,NA,Indomalaya,sciname match,Aeromys_tephromelas,0,0,0,0,
66,Aeromys_thomasi,Thomas’s Flying Squirrel,,Placentalia,Boreoeutheria,RODENTIA,SCIURIDAE,SCIURINAE,PTEROMYINI,Aeromys,thomasi,Hose,1900,,,,NA,NA,Indomalaya,sciname match,Aeromys_thomasi,0,0,0,0,
67,Aethalops_aequalis,Bornean Pygmy Fruit Bat,Bornean Fruit Bat|Borneo Fruit Bat,Placentalia,Boreoeutheria,CHIROPTERA,PTEROPODIDAE,CYNOPTERINAE,BALIONYCTERINI,Aethalops,aequalis,G. M. Allen,1938,,,,NA,NA,Indomalaya,sciname match,Aethalops_aequalis,0,0,0,0,
68,Aethalops_alecto,Common Pygmy Fruit Bat,Pygmy Fruit Bat,Placentalia,Boreoeutheria,CHIROPTERA,PTEROPODIDAE,CYNOPTERINAE,BALIONYCTERINI,Aethalops,alecto,Thomas,1923,,,,NA,NA,Indomalaya,sciname match,Aethalops_alecto,0,0,0,0,
69,Aethomys_bocagei,Bocage’s Rock Rat,Bocage’s Aethomys|Bocage’s Veld Rat,Placentalia,Boreoeutheria,RODENTIA,MURIDAE,MURINAE,ARVICANTHINI,Aethomys,bocagei,Thomas,1904,,,,NA,NA,Afrotropic,sciname match,Aethomys_bocagei,0,0,0,0,
70,Aethomys_chrysophilus,Red Rock Rat,Red Aethomys|Red Veld Aethomys|Red Veld Rat,Placentalia,Boreoeutheria,RODENTIA,MURIDAE,MURINAE,ARVICANTHINI,Aethomys,chrysophilus,de Winton,1896,,,FMNH17062,NA,NA,Afrotropic,sciname match,Aethomys_chrysophilus,0,0,0,0,
71,Aethomys_hindei,Hinde’s Rock Rat,Hinde’s Aethomys|Hinde’s Veld Rat,Placentalia,Boreoeutheria,RODENTIA,MURIDAE,MURINAE,ARVICANTHINI,Aethomys,hindei,Thomas,1902,,,,NA,NA,Afrotropic,sciname match,Aethomys_hindei,0,0,0,0,
72,Aethomys_ineptus,Tete Rock Rat,Tete Aethomys|Tete Veld Aethomys|Tete Veld Rat,Placentalia,Boreoeutheria,RODENTIA,MURIDAE,MURINAE,ARVICANTHINI,Aethomys,ineptus,Thomas & Wroughton,1908,,,,NA,NA,Afrotropic,sciname match,Aethomys_ineptus,0,0,0,0,
73,Aethomys_kaiseri,Kaiser’s Rock Rat,Kaiser’s Aethomys|Kaiser’s Veld Rat,Placentalia,Boreoeutheria,RODENTIA,MURIDAE,MURINAE,ARVICANTHINI,Aethomys,kaiseri,Noack,1887,,,,NA,NA,Afrotropic,sciname match,Aethomys_kaiseri,0,0,0,0,
74,Aethomys_nyikae,Nyika Rock Rat,Nyika Aethomys|Nyika Veld Rat,Placentalia,Boreoeutheria,RODENTIA,MURIDAE,MURINAE,ARVICANTHINI,Aethomys,nyikae,Thomas,1897,,,,NA,NA,Afrotropic,sciname match,Aethomys_nyikae,0,0,0,0,
